scene_id,r_init,r_final,r_delta,a_init,a_final,a_delta,delta_norm_pct
s_002abd79ae_t0,0.03815582022070885,0.032315805554389954,-0.005840014666318893,0.3297078609466553,0.35028892755508423,0.020581066608428955,68.73619842529297
s_002abd79ae_t1,0.03502628579735756,0.0179098229855299,-0.01711646281182766,0.43464142084121704,0.42184382677078247,-0.01279759407043457,69.56028747558594
s_002d72ceb3_t0,0.07243024557828903,0.00011971931235166267,-0.07231052626593737,1.0,1.0,0.0,63.43785095214844
s_002d72ceb3_t1,0.07213912904262543,0.14189006388187408,0.06975093483924866,1.0,1.0,0.0,94.9779052734375
s_00656814a4_t0,0.034735001623630524,0.05912763625383377,0.024392634630203247,0.9725022315979004,0.5111915469169617,-0.4613106846809387,75.17835235595703
s_00656814a4_t1,0.03440423309803009,0.044190142303705215,0.009785909205675125,0.9400879144668579,0.5486555099487305,-0.39143240451812744,77.0064468383789
s_006d56dae3_t0,0.050171785056591034,0.11011448502540588,0.05994269996881485,0.5092136859893799,0.6975070238113403,0.18829333782196045,74.26194763183594
s_006d56dae3_t1,0.04791813716292381,0.039568234235048294,-0.008349902927875519,0.5370954275131226,0.6147708892822266,0.077675461769104,74.59423065185547
s_006fb3ee75_t0,0.023774437606334686,0.029521102085709572,0.0057466644793748856,0.8194084167480469,0.21946203708648682,-0.5999463796615601,63.078033447265625
s_006fb3ee75_t1,0.02639668621122837,0.030290834605693817,0.0038941483944654465,0.8398480415344238,0.7501438856124878,-0.08970415592193604,68.91824340820312
s_0077a8476e_t0,0.034213196486234665,0.030822064727544785,-0.0033911317586898804,0.6623154878616333,0.3874618411064148,-0.2748536467552185,70.76850891113281
s_0077a8476e_t1,0.03514128550887108,0.06124419718980789,0.026102911680936813,0.6571613550186157,0.3371642827987671,-0.31999707221984863,78.02684783935547
s_007947564f_t0,0.02662096917629242,0.03205447643995285,0.005433507263660431,0.6500393152236938,0.6535962820053101,0.003556966781616211,76.476318359375
s_007947564f_t1,0.028758864849805832,0.0011391938896849751,-0.027619670960120857,0.7310220003128052,0.705743670463562,-0.025278329849243164,71.99684143066406
s_0081786aa6_t0,0.12017280608415604,0.2076367884874344,0.08746398240327835,1.0,1.0,0.0,73.76078796386719
s_0081786aa6_t1,0.12506674230098724,0.07509094476699829,-0.04997579753398895,1.0,1.0,0.0,78.4639892578125
s_008bbf20b4_t0,0.0006371152121573687,0.0009767392184585333,0.0003396240063011646,1.0,1.0,0.0,22.69232177734375
s_008bbf20b4_t1,0.0006423426093533635,0.0003784285800065845,-0.000263914029346779,1.0,1.0,0.0,21.604534149169922
s_00cc71e8a4_t0,0.053858861327171326,0.0014887760626152158,-0.05237008526455611,1.0,1.0,0.0,68.88261413574219
s_00cc71e8a4_t1,0.05109841004014015,0.0856512039899826,0.03455279394984245,1.0,1.0,0.0,74.44151306152344
s_00d91346dd_t0,0.02123239077627659,0.026491587981581688,0.0052591972053050995,0.5952959656715393,0.7582845687866211,0.1629886031150818,59.74922180175781
s_00d91346dd_t1,0.01973150484263897,0.031991053372621536,0.012259548529982567,0.6373005509376526,0.5880005359649658,-0.04930001497268677,65.68354034423828
s_00e053d1ee_t0,0.033614594489336014,0.051360201090574265,0.01774560660123825,0.56493079662323,0.49662768840789795,-0.06830310821533203,76.88014221191406
s_00e053d1ee_t1,0.034891072660684586,0.019353317096829414,-0.015537755563855171,0.7739659547805786,0.7615028023719788,-0.012463152408599854,76.51921844482422
s_00e8458729_t0,0.044394008815288544,0.036707401275634766,-0.007686607539653778,0.732454776763916,0.8982194066047668,0.16576462984085083,77.93571472167969
s_00e8458729_t1,0.0466904416680336,0.0041229939088225365,-0.04256744775921106,0.8077696561813354,0.8968082666397095,0.08903861045837402,70.61592102050781
s_00ed94a46a_t0,0.04345688223838806,0.00910271517932415,-0.03435416705906391,0.5948322415351868,0.4722539186477661,-0.12257832288742065,70.35552215576172
s_00ed94a46a_t1,0.03830955550074577,0.030074160546064377,-0.008235394954681396,0.6019647121429443,0.496937096118927,-0.10502761602401733,74.63944244384766
s_00f11b76c0_t0,0.007442797534167767,0.015331903472542763,0.007889105938374996,1.0,1.0,0.0,29.145584106445312
s_00f11b76c0_t1,0.007871987298130989,0.015392683446407318,0.007520696148276329,1.0,1.0,0.0,26.516056060791016
s_00f4b17015_t0,0.04603542014956474,0.00549068208783865,-0.04054473806172609,1.0,1.0,0.0,62.30128860473633
s_00f4b17015_t1,0.045628901571035385,0.09956906735897064,0.05394016578793526,1.0,1.0,0.0,69.93164825439453
s_011a694044_t0,0.023057283833622932,0.03266356140375137,0.00960627757012844,0.8428754806518555,0.419330358505249,-0.42354512214660645,68.05939483642578
s_011a694044_t1,0.022124899551272392,0.051846638321876526,0.029721738770604134,0.9203184247016907,0.5523903369903564,-0.36792808771133423,65.77389526367188
s_011f4037a3_t0,0.04570111259818077,0.03572293370962143,-0.009978178888559341,0.3018719553947449,0.5512939095497131,0.24942195415496826,59.6155891418457
s_011f4037a3_t1,0.040703654289245605,0.020176419988274574,-0.02052723430097103,0.6609594821929932,0.7949756979942322,0.134016215801239,75.45426177978516
s_01205d3bb7_t0,0.04004685953259468,0.011895458213984966,-0.028151401318609715,0.9504320621490479,0.9721042513847351,0.021672189235687256,80.06184387207031
s_01205d3bb7_t1,0.041503455489873886,0.04379125311970711,0.0022877976298332214,0.9420738816261292,0.9777882695198059,0.03571438789367676,70.9759292602539
s_01392300cf_t0,0.009462190791964531,0.013602581806480885,0.004140391014516354,0.4912785291671753,0.48997342586517334,-0.0013051033020019531,44.44453811645508
s_01392300cf_t1,0.01039482094347477,0.011794076301157475,0.001399255357682705,0.4816427230834961,0.6204502582550049,0.1388075351715088,42.26094055175781
s_0154aea7d4_t0,0.02962428331375122,0.026793435215950012,-0.0028308480978012085,0.6441402435302734,0.16258519887924194,-0.4815550446510315,67.40653228759766
s_0154aea7d4_t1,0.030778462067246437,0.04620514065027237,0.015426678583025932,0.5631209015846252,0.5118770599365234,-0.05124384164810181,61.413108825683594
s_01564a7c99_t0,0.03153997287154198,0.049037110060453415,0.017497137188911438,1.0,1.0,0.0,62.99855041503906
s_01564a7c99_t1,0.030931035056710243,0.0042113144882023335,-0.02671972056850791,1.0,1.0,0.0,51.44426727294922
s_01a378627c_t0,0.06521329283714294,0.12526379525661469,0.06005050241947174,0.7173001170158386,0.5268732905387878,-0.19042682647705078,74.33883666992188
s_01a378627c_t1,0.06455396115779877,0.12702906131744385,0.06247510015964508,0.7077983617782593,0.6326963901519775,-0.07510197162628174,82.40555572509766
s_01b780ac0e_t0,0.0053735170513391495,0.0021740940865129232,-0.0031994229648262262,1.0,1.0,0.0,42.36454772949219
s_01b780ac0e_t1,0.005316711962223053,0.0021448382176458836,-0.0031718737445771694,1.0,1.0,0.0,40.24877166748047
s_01ca5c558f_t0,0.008057055063545704,0.006017389241605997,-0.002039665821939707,0.9180651903152466,0.38228583335876465,-0.5357793569564819,48.01118850708008
s_01ca5c558f_t1,0.008555777370929718,0.008347481489181519,-0.00020829588174819946,0.9360740780830383,0.7336972951889038,-0.20237678289413452,49.0069580078125
s_01d3ab6d57_t0,0.02719564363360405,0.02493218518793583,-0.0022634584456682205,0.6198429465293884,0.5849941968917847,-0.03484874963760376,70.45246887207031
s_01d3ab6d57_t1,0.027368227019906044,0.04160911217331886,0.014240885153412819,0.7717594504356384,0.5635762810707092,-0.2081831693649292,64.45965576171875
s_01ec53ad9c_t0,0.02219923585653305,0.03357881307601929,0.011379577219486237,1.0,1.0,0.0,54.57731628417969
s_01ec53ad9c_t1,0.02316996641457081,0.024930095300078392,0.0017601288855075836,1.0,1.0,0.0,65.97179412841797
s_01edf96164_t0,0.0233614444732666,0.03546058386564255,0.012099139392375946,0.9669272303581238,0.45834964513778687,-0.5085775852203369,75.81878662109375
s_01edf96164_t1,0.0169364120811224,0.06148010119795799,0.044543689116835594,0.9728050827980042,0.8644073009490967,-0.10839778184890747,73.63337707519531
s_01ef228b4c_t0,0.0339924581348896,0.038611192256212234,0.004618734121322632,0.7874788045883179,0.7401185035705566,-0.04736030101776123,74.25301361083984
s_01ef228b4c_t1,0.032772697508335114,0.0257386714220047,-0.007034026086330414,0.828427791595459,0.6970252990722656,-0.13140249252319336,82.61644744873047
s_0204e5e964_t0,0.031513262540102005,0.04824546352028847,0.016732200980186462,0.8133670687675476,0.9943681955337524,0.18100112676620483,78.74340057373047
s_0204e5e964_t1,0.02980542555451393,0.03322501853108406,0.0034195929765701294,0.8963603973388672,0.8986979722976685,0.0023375749588012695,64.7966537475586
